ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50 viral,% Inhibition,Tested at [C],Weight,Origin,Formula,Family,Sub family,Nature,Reference,ID_ref,PUBCHEM_CID
   10.1016/j.bmc.2013.11.048 ",45,
2777,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,ircinol A,Active,Leishmania,,2.18,,0.9,,,,,,,412.608,Indonesian sponge Acanthostrongylophora sp,C26H40N2O2,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",46,
2778,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,"ircinal A 
",Active,Leishmania,,[0.9-6.2],,,,,,,,,410.592,Indonesian sponge Acanthostrongylophora sp,C26H38N2O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,47,
2779,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,manzamine X,Active,Leishmania,,,,[0.9-6.2],,,,,,,580.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,48,
2780,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,6-deoxymanzamine X,Active,Leishmania,,,,[0.9-6.2],,,,,,,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,49,
2781,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,manzamine Y,Active,Leishmania,,,,1.6,,,,,,,564.76,Indonesian sponge Acanthostrongylophora sp.,C36H44N4O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,50,
2782,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine A,Active,Leishmania,,,,,,,,,,,492.667,Aspidosperma ramiflorum (Apocynaceae),C32H36N4O,alkaloid,indole alkaloid,natural,10.1021/cr400552x,51/52,
2783,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,,,,0.78,,,,,,,273.291,,C18H11NO2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x;
10.1055/s-2003-40640 
    ",53,
2784,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,,,,1.7,,,,,,,328.371,,C21H16N2O2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-2003-40640",54,
2785,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,,,,1.9,,,,,,,330.387,,C21H18N2O2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",55,
2786,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,,,,3.4,,,,,,,292.363,,C17H12N2OS,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",56,
2787,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,Active,Leishmania,,,,5.4,,,,,,,354.434,,C22H14N2OS,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",57,
2788,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,,,,5.7,,,,,,,247.257,,C15H9N3O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",58,
2789,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,,,,6.8,,,,,,,282.302,,C19H10N2O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",59,
2790,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,,,,8.7,,,,,,,283.29,,C18H9N3O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",60,
2791,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"batzelladine L
",Active,Leishmania,,,,1.9,,,,,,,652.996,"Jamaican sponge Monanchora
unguifera",C39H68N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,61,
2792,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,batzelladine M,Active,Leishmania,,,,8.5,,,,,,,594.874,"Jamaican sponge Monanchora
unguifera",C35H58N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,62,
2793,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,ptilomycalin A,Active,Leishmania,,,,5.9,,,,,,,785.1539,"Jamaican sponge Monanchora
unguifera",C45H80N6O5,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,63,
2794,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,crambescidine,Active,Leishmania,,,,6.8,,,,,,,801.171,"Jamaican sponge Monanchora
unguifera",C45H80N6O6,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,64,
2795,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,batzelladine C,Active,Leishmania,,,,5.5,,,,,,,516.775,"Jamaican sponge Monanchora
unguifera",C29H52N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,65,
2796,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,dehydrobatzelladine C,Active,Leishmania,,,,5.7,,,,,,,486.693,"Jamaican sponge Monanchora
unguifera",C27H46N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,66,
2797,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,,,,52.74,,,,,,,460.703,Nepalese species Sarcococca hookeriana,C28H48N2O3,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",67,
2798,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,,,,0.2,,,,,,,502.74,Nepalese species Sarcococca hookeriana,C30H50N2O4,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",68,
2799,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,,,,3.78,,,,,,,486.741,Nepalese species Sarcococca hookeriana,C30H50N2O3,Alkaloid,Steroidal Alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736

",71,
2800,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,,Active,Leishmania,,,,6.49,,,,,,,498.796,Nepalese species Sarcococca hookeriana,C32H54N2O2,Alkaloid,Steroidal Alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",70,
2801,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,,,,3.36,,,,,,,486.741,Nepalese species Sarcococca hookeriana,C30H50N2O3,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",71,
2802,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,,,,2.29,,,,,,,430.677,Nepalese species Sarcococca hookeriana,C27H46N2O2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",72,
2803,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,,,,3.27,,,,,,,444.704,Nepalese species Sarcococca hookeriana,C28H48N2O2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",74,
2804,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,,,,2,,,,,,,374.657,Nepalese species Sarcococca hookeriana,C25H46N2,alkaloid,Steroidal Alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",79,
2805,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@]([H])(O)[C@H]4O,,Active,Leishmania,,,,55.33,,,,,,,377.613,Nepalese species Sarcococca hookeriana,C24H43NO2,Alkaloid,Steroidal Alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",76,
2806,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4N,,Active,Leishmania,,,,3.41,,,,,,,360.63,Nepalese species Sarcococca hookeriana,C24H44N2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x,
    10.1080/14786410701192736",77,
2807,[H]C1([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CCC(CC([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C([H])([H])[C@H]1N(C)C,,Active,Leishmania,,,,13,,,,,,,388.684,Nepalese species Sarcococca hookeriana,C26H48N2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",78,
2808,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,,,,3.44,,,,,,,374.657,Nepalese species Sarcococca hookeriana,C25H46N2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",79,
2809,[H]\C(C(=O)N[C@H]1C([H])([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CC[C@H]([C@]([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C1([H])[H])=C(\C)C(C)C,,Active,Leishmania,,,,0.46,,,,,,,456.759,Nepalese species Sarcococca hookeriana,C30H52N2O,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",80,
2810,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@H](O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,,,,3.41,,,,,,,458.731,Nepalese species Sarcococca hookeriana,C29H50N2O2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",82,
2811,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@H](O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,,,,1.28,,,,,,,458.731,Nepalese species Sarcococca hookeriana,C29H50N2O2,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",82,
2812,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H]([C@@H]4O)NC(=O)C=C(C)C)C)C)[NH+](C)C,hookerianamide J,Active,Leishmania,,11.3,,,,,,,,,442.677,Sarcococca hookeriana,C28H46N2O2,alkaloid,eight 5R-pregnane-type steroidal alkaloid,natural,"10.1021/cr400552x

",84,
2813,C[C@@H]([C@H]1CC=C2[C@@]1(CC[C@H]3[C@H]2CCC4=C[C@H](CC[C@]34C)[NH+](C)C)C)[NH+](C)C,hookerianamide K,Active,Leishmania,,6.8,,,,,,,,,370.614,Sarcococca hookeriana,C25H42N2,alkaloid,eight 5R-pregnane-type steroidal alkaloid,natural,"10.1021/cr400552x

",85,
2814,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC=C(C4=O)NC=O)C)C)[NH+](C)C,hookerianamide H,Active,Leishmania,,22.4,,,,,,,,,386.571,arcococca hookeriana,C24H38N2O2,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,86,
2815,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)c5ccccc5)C)C)[NH2+]C,hookerianamide I,Active,Leishmania,,8.8,,,,,,,,,451.719,arcococca hookeriana,C30H46N2O,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,87,
2816,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N)C)C)N(C)C,chonemorphine,Active,Leishmania,,,,[0.7-9.3],,,,,,,346.593,Sarcococca hookeriana,C23H42N2,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,88,
2817,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H]([C@@H]4OC(=O)C)NC(=O)C=C(C)C)C)C)NC,vagenine A,Active,Leishmania,,3.3,,,,,,,,,472.703,Sarcococca hookeriana,C29H48N2O3,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,89,
2818,"C/C=C(\C)/C(=O)NC1=CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1=O)CC[C@@H]4[C@H](C)NC)C)C
",,Active,Leishmania,,21.3,,,,,,,,,424.629,Sarcococca hookeriana,C27H40N2O2,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,90,
2819,C/C=C(\C)/C(=O)N[C@H]1CC[C@]2(C([C@H]1OC(=O)C)CCC3C2CC[C@]4(C3CC[C@@H]4C(C)N(C)C)C)C,sarcovagine C,Active,Leishmania,,1.5,,,,,,,,,486.73,Sarcococca hookeriana,C30H50N2O3,alkaloid,5R-pregnane-type steroidal alkaloid,natural,10.1021/cr400552x,91,
2820,C/C=C/C(=O)C[C@H]1[C@H](C[C@]2(C([C@H]1O)CCC3C2CC[C@]4(C3CC[C@@H]4[C@H](C)N(C)C)C)C)OC(=O)C,hookerianamide L,Active,Leishmania,,,,8.8,,,,,,,487.725,Sarcococca hookeriana,C30H49NO4,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x; 
    10.1055/s-0029-1240896",92,
2821,[H][C@@]4([H])C[C@@]1(C)[C@@]([H])(CC[C@]2([H])[C@]1([H])CC[C@]3(C)[C@@H](CC([H])(C)N(C)C)[C@@H](CC(C)=O)C[C@@]23[H])[C@@H](O)[C@H]4NNC(=O)/C=C(C)\C.C,hookerianamide O,Active,Leishmania,,,,9.3,,,,,,,545.853,Sarcococca hookeriana,C33H59N3O3,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0029-1240896",93,
2822,[H][C@H]4C[C@@]3([H])[C@]2([H])CC[C@@]1([H])[C@@H]([H])[C@@H](NNC=O)[C@]([H])([H])C[C@]1(C)[C@@]2([H])CC[C@]3(C)[C@H]4CC([H])(C)N(C)C.C,N-formylchonemorphine,Active,Leishmania,,,,7.2,,,,,,,419.698,Sarcococca hookeriana,C26H49N3O,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x; 
    10.1055/s-0029-1240896",94,
2823,[H][C@]16/N=C(N)\NC14N(CC3[C@H](CN)[C@H](Cl)C2(/N=C(N)\N[C@@H]2C)[C@@]34[H])C(=O)c5cc(Br)c(Br)n56,"dibromopalauamine 
",Active,Leishmania,,,,1.09,,,,,,,575.697,Axinella verrucosa (marine sponge),C18H22Br2ClN9O,alkaloid,bromopyrrole alkaloid,natural,10.1021/cr400552x,95,
2824,O=C(O)CC2CNC(=O)c1cc(Br)c(Br)n12,longamide,Active,Leishmania,,,,3.85,,,,,,,351.982,Agelas dispar,C9H8Br2N2O3,alkaloid,bromopyrrole alkaloid,natural,10.1021/cr400552x,96,
2825,COc2cccc3c(OC)c1ccoc1nc23,"Gamma-fagarine 
",Active,Leishmania,,"17,3",,,,,,,,,229.235,Helietta apiculata,C13H11NO3,alkaloid,furoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.09.009  ",97,
2826,COc2cccc3c(OC)c1ccoc1nc23,"Gamma-fagarine 
",Inactive,Leishmania,,,,,,,,,,,229.235,Helietta apiculata,C13H11NO3,alkaloid,furoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.09.009  ",97,
2827,[H][C@@]12CCCN1CC(CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1)=C[C@@]2([H])CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1,"Delta 1,6-Juliprosopine",Active,Leishmania,,,,0.83,,,,,,,626.027,Prosopis glandulosa,C40H71N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",98,
2828,[H][C@@]12CCCN1CC(CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1)=C[C@@]2([H])CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1,"Delta 1,6-Juliprosopine",Active,Leishmania,,,,8.47,,,,,,,626.027,Prosopis glandulosa,C40H71N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",98,
2829,[H][C@@]12CCCN1CC(CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1)=C[C@@]2([H])CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1,"Delta 1,6-Juliprosopine",Active,Leishmania,,,,1.67,,,,,,,626.027,Prosopis glandulosa,C40H71N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",98,
2830,[H][C@@]12CCCN1CC(CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1)=C[C@@]2([H])CCCCCCCCCCC1=N[C@H](C)[C@H](O)CC1,"Delta 1,6-Juliprosopine",Active,Leishmania,,,,1.83,,,,,,,626.027,Prosopis glandulosa,C40H71N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",98,
2831,"C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCCC2=CC(=C3CCC[N+]3=C2)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O.[Cl-]
",prosopilosidine,Active,Leishmania,,,,0.91,,,,,,,662.488,Prosopis glandulosa,C40H72ClN3O2,Alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",99,
2832,"C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCCC2=CC(=C3CCC[N+]3=C2)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O.[Cl-]
",prosopilosidine,Active,Leishmania,,,,9.49,,,,,,,662.488,Prosopis glandulosa,C40H72ClN3O2,Alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",99,
2833,"C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCCC2=CC(=C3CCC[N+]3=C2)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O.[Cl-]
",prosopilosidine,Active,Leishmania,,,,3.23,,,,,,,662.488,Prosopis glandulosa,C40H72ClN3O2,Alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",99,
2834,"C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCCC2=CC(=C3CCC[N+]3=C2)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O.[Cl-]
",prosopilosidine,Active,Leishmania,,,,2.08,,,,,,,662.488,Prosopis glandulosa,C40H72ClN3O2,Alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",99,
2835,C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCC[C@@H]2C=C(CN3[C@H]2CCC3)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O,prosopilosine,Active,Leishmania,,,,0.18,,,,,,,630.059,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",100,
2836,C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCC[C@@H]2C=C(CN3[C@H]2CCC3)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O,prosopilosine,Active,Leishmania,,,,2.33,,,,,,,630.059,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",100,
2837,C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCC[C@@H]2C=C(CN3[C@H]2CCC3)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O,prosopilosine,Active,Leishmania,,,,1.08,,,,,,,630.059,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",100,
2838,C[C@H]1[C@@H](CC[C@H](N1)CCCCCCCCCC[C@@H]2C=C(CN3[C@H]2CCC3)CCCCCCCCCC[C@@H]4CC[C@H]([C@@H](N4)C)O)O,prosopilosine,Active,Leishmania,,,,0.08,,,,,,,630.059,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",100,
2839,C[C@@H]1N[C@H](CCCCCCCCCCC2C=C(CCCCCCCCCC[C@@H]3CC[C@@H](O)[C@H](C)N3)CN3CCCC23)CC[C@@H]1O,isoprosopilosine,Inactive,Leishmania,,,,,,,,,,,630.059,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",101,
2840,C[C@H]1N[C@@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@H]3CC[C@@H](O)[C@@H](C)N3)=C3CCC[N+]3=C2)CC[C@H]1O,isoprosopilosidine,Active,Leishmania,,,,1.22,,,,,,,627.035,Prosopis glandulosa,C40H72N3O2+,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",102,
2841,C[C@H]1N[C@@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@H]3CC[C@@H](O)[C@@H](C)N3)=C3CCC[N+]3=C2)CC[C@H]1O,isoprosopilosidine,Active,Leishmania,,,,7.92,,,,,,,627.035,Prosopis glandulosa,C40H72N3O2+,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",102,
2842,C[C@H]1N[C@@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@H]3CC[C@@H](O)[C@@H](C)N3)=C3CCC[N+]3=C2)CC[C@H]1O,isoprosopilosidine,Active,Leishmania,,,,5.87,,,,,,,627.035,Prosopis glandulosa,C40H72N3O2+,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",102,
2843,C[C@H]1N[C@@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@H]3CC[C@@H](O)[C@@H](C)N3)=C3CCC[N+]3=C2)CC[C@H]1O,isoprosopilosidine,Active,Leishmania,,,,2.14,,,,,,,627.035,Prosopis glandulosa,C40H72N3O2+,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",102,
2844,C[C@H]1[C@H](CC[C@H](N1)CCCCCCCCCCC2C=C(CN3C2CCC3)CCCCCCCCCC[C@@H]4CC[C@@H]([C@@H](N4)C)O)O,juliprosopine,Active,Leishmania,,,,0.29,,,,,,,630.042,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",103,
2845,C[C@H]1[C@H](CC[C@H](N1)CCCCCCCCCCC2C=C(CN3C2CCC3)CCCCCCCCCC[C@@H]4CC[C@@H]([C@@H](N4)C)O)O,juliprosopine,Active,Leishmania,,,,3.43,,,,,,,630.042,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",103,
2846,C[C@H]1[C@H](CC[C@H](N1)CCCCCCCCCCC2C=C(CN3C2CCC3)CCCCCCCCCC[C@@H]4CC[C@@H]([C@@H](N4)C)O)O,juliprosopine,Active,Leishmania,,,,0.79,,,,,,,630.042,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-0030-1270906  ",103,
2847,C[C@H]1[C@H](CC[C@H](N1)CCCCCCCCCCC2C=C(CN3C2CCC3)CCCCCCCCCC[C@@H]4CC[C@@H]([C@@H](N4)C)O)O,juliprosopine,Active,Leishmania,,,,1.92,,,,,,,630.042,Prosopis glandulosa,C40H75N3O2,alkaloid,indolizidine alkaloid,natural,"10.1021/cr400552x;
